,symbol,recommendation
0,A,Strong Sell
0,KRNL,Strong Buy
0,KRP,Strong Buy
0,KROS,Strong Sell
0,KRON,Strong Sell
0,KRO,Strong Buy
0,KRNY,Strong Sell
0,KRNT,Strong Sell
0,KRNLU,Strong Buy
0,KRMD,Strong Buy
0,KRT,Strong Buy
0,KRKR,Strong Sell
0,KRG,Strong Sell
0,KREF,Strong Sell
0,KRC,Strong Sell
0,KR,Buy
0,KPTI,Strong Sell
0,KPRX,Strong Sell
0,KRRO,Strong Sell
0,KRUS,Sell
0,KWE,Strong Sell
0,KTN,Strong Buy
0,KVHI,Strong Sell
0,KURA,Strong Sell
0,KULR,Strong Buy
0,KUKE,Strong Buy
0,KTTA,Strong Buy
0,KTRA,Strong Buy
0,KTOS,Strong Sell
0,KTH,Strong Buy
0,KRYS,Strong Buy
0,KTF,Strong Buy
0,KTCC,Strong Buy
0,KTB,Strong Sell
0,KT,Strong Sell
0,KSS,Strong Sell
0,KSM,Strong Buy
0,KSCP,Strong Buy
0,KPLT,Strong Sell
0,KOSS,Strong Sell
0,KOS,Strong Sell
0,KKR,Strong Buy
0,KMDA,Strong Sell
0,KMB,Strong Sell
0,KLXE,Strong Sell
0,KLTR,Strong Buy
0,KLIC,Strong Sell
0,KLAC,Strong Sell
0,KKRS,Strong Sell
0,KITT,Strong Sell
0,KORE,Strong Sell
0,KIRK,Strong Sell
0,KIO,Strong Sell
0,KINS,Strong Sell
0,KIND,Strong Sell
0,KIM,Strong Sell
0,KIDS,Strong Sell
0,KHC,Strong Buy
0,KMI,Strong Buy
0,KMPB,Buy
0,KMPR,Strong Sell
0,KMT,Strong Sell
0,KOPN,Strong Sell
0,KOP,Strong Buy
0,KOF,Strong Sell
0,KODK,Strong Buy
0,KOD,Strong Sell
0,KO,Strong Sell
0,KNX,Strong Sell
0,KNW,Strong Buy
0,KNTK,Strong Sell
0,KNSL,Strong Sell
0,KNSA,Strong Sell
0,KNOP,Strong Sell
0,KNDI,Strong Sell
0,KN,Strong Sell
0,KMX,Strong Sell
0,KW,Strong Sell
0,KWR,Strong Sell
0,KGC,Strong Buy
0,LEA,Strong Sell
0,LEJU,Strong Sell
0,LEGN,Strong Sell
0,LEGH,Strong Buy
0,LEG,Strong Sell
0,LEE,Strong Sell
0,LEDS,Strong Sell
0,LECO,Strong Sell
0,LE,Strong Buy
0,LENZ,Strong Sell
0,LDTC,Strong Sell
0,LDP,Strong Sell
0,LDOS,Strong Sell
0,LDI,Strong Sell
0,LCW,Strong Sell
0,LCUT,Strong Buy
0,LCTX,Strong Sell
0,LEN,Strong Sell
0,LEO,Strong Sell
0,KXIN,Strong Sell
0,LFST,Strong Buy
0,LGIH,Strong Sell
0,LGI,Strong Sell
0,LGHL,Strong Sell
0,LFWD,Strong Buy
0,LFVN,Strong Sell
0,LFUS,Strong Sell
0,LFT,Strong Sell
0,LFMDP,Strong Sell
0,LESL,Strong Sell
0,LFMD,Strong Sell
0,LFLY,Strong Buy
0,LFCR,Strong Buy
0,LEXX,Strong Sell
0,LEVI,Strong Buy
0,LEV,Strong Sell
0,LEU,Strong Buy
0,LCNB,Strong Sell
0,LCII,Strong Sell
0,LCID,Strong Sell
0,LAD,Strong Sell
0,LANDO,Strong Buy
0,LANDM,Strong Buy
0,LAND,Strong Sell
0,LANC,Strong Sell
0,LAMR,Strong Sell
0,LAKE,Strong Buy
0,LADR,Strong Sell
0,LABP,Strong Buy
0,LCFY,Strong Sell
0,LAB,Strong Buy
0,LAAC,Strong Sell
0,L,Strong Sell
0,KZR,Strong Sell
0,KZIA,Strong Buy
0,KYN,Strong Sell
0,KYMR,Strong Sell
0,LANV,Buy
0,LARK,Strong Sell
0,LASE,Strong Sell
0,LASR,Strong Sell
0,LC,Strong Sell
0,LBTYK,Strong Buy
0,LBTYB,Strong Sell
0,LBTYA,Strong Buy
0,LBRT,Strong Buy
0,LBRDP,Strong Buy
0,LBRDK,Strong Sell
0,LBRDA,Strong Sell
0,LBPH,Strong Sell
0,LBAI,Strong Sell
0,LAZR,Strong Buy
0,LAZ,Strong Buy
0,LAW,Strong Buy
0,LAUR,Strong Buy
0,LATG,Strong Buy
0,KGEI,Strong Buy
0,KFY,Strong Sell
0,LGMK,Strong Sell
0,IVT,Strong Sell
0,IZM,Strong Buy
0,IZEA,Strong Buy
0,IXHL,Strong Sell
0,IXAQ,Strong Buy
0,IX,Strong Sell
0,IVZ,Strong Buy
0,IVVD,Strong Sell
0,IVR,Strong Sell
0,JACK,Strong Sell
0,IVDA,Strong Sell
0,IVCP,Strong Buy
0,IVCB,Strong Buy
0,IVCA,Strong Buy
0,IVAC,Strong Sell
0,IVA,Strong Buy
0,ITW,Strong Sell
0,J,Strong Sell
0,JAGX,Strong Buy
0,JELD,Strong Buy
0,JBLU,Strong Sell
0,JD,Strong Sell
0,JCTCF,Strong Sell
0,JCSE,Strong Sell
0,JCI,Strong Buy
0,JCE,Strong Buy
0,JBT,Strong Sell
0,JBSS,Strong Sell
0,JBL,Strong Buy
0,JAKK,Strong Sell
0,JBI,Strong Sell
0,JBHT,Strong Sell
0,JBGS,Strong Sell
